,home_team,empate_home,gano_home,perdio_home,empate_away,perdio_away,gano_away,gano,perdio,empate,num_partidos,gano_perc,perdio_perc,empate_perc,tournament_name,index_tournament
644,America,1.0,4.0,3.0,2.0,5.0,2.0,6.0,8.0,3.0,17.0,0.35294117647058826,0.47058823529411764,0.17647058823529413,clausura 2006,37
645,Atlante,4.0,3.0,3.0,0.0,4.0,5.0,8.0,7.0,0.0,15.0,0.5333333333333333,0.4666666666666667,0.0,clausura 2006,37
646,Atlas,3.0,2.0,3.0,2.0,4.0,3.0,5.0,7.0,5.0,17.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,clausura 2006,37
647,Chiapas FC,3.0,7.0,2.0,3.0,5.0,3.0,10.0,7.0,6.0,23.0,0.43478260869565216,0.30434782608695654,0.2608695652173913,clausura 2006,37
648,Chivas,2.0,4.0,5.0,3.0,3.0,4.0,8.0,8.0,5.0,21.0,0.38095238095238093,0.38095238095238093,0.23809523809523808,clausura 2006,37
649,Club Queretaro,2.0,5.0,2.0,1.0,4.0,5.0,10.0,6.0,3.0,19.0,0.5263157894736842,0.3157894736842105,0.15789473684210525,clausura 2006,37
650,Cruz Azul,3.0,6.0,1.0,1.0,5.0,3.0,9.0,6.0,4.0,19.0,0.47368421052631576,0.3157894736842105,0.21052631578947367,clausura 2006,37
651,Dorados,5.0,3.0,1.0,5.0,2.0,1.0,4.0,3.0,10.0,17.0,0.23529411764705882,0.17647058823529413,0.5882352941176471,clausura 2006,37
652,Estudiantes,2.0,2.0,4.0,2.0,3.0,4.0,6.0,7.0,4.0,17.0,0.35294117647058826,0.4117647058823529,0.23529411764705882,clausura 2006,37
653,Monterrey,0.0,3.0,5.0,3.0,4.0,2.0,5.0,9.0,0.0,14.0,0.35714285714285715,0.6428571428571429,0.0,clausura 2006,37
654,Morelia,3.0,4.0,2.0,4.0,4.0,2.0,6.0,6.0,7.0,19.0,0.3157894736842105,0.3157894736842105,0.3684210526315789,clausura 2006,37
655,Necaxa,1.0,3.0,5.0,2.0,4.0,2.0,5.0,9.0,3.0,17.0,0.29411764705882354,0.5294117647058824,0.17647058823529413,clausura 2006,37
656,Pachuca,3.0,6.0,2.0,2.0,4.0,6.0,12.0,6.0,5.0,23.0,0.5217391304347826,0.2608695652173913,0.21739130434782608,clausura 2006,37
657,Pumas,3.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,7.0,17.0,0.29411764705882354,0.29411764705882354,0.4117647058823529,clausura 2006,37
658,Santos,6.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,9.0,17.0,0.17647058823529413,0.29411764705882354,0.5294117647058824,clausura 2006,37
659,Tigres,3.0,3.0,3.0,6.0,1.0,1.0,4.0,4.0,9.0,17.0,0.23529411764705882,0.23529411764705882,0.5294117647058824,clausura 2006,37
660,Toluca,1.0,5.0,4.0,3.0,5.0,3.0,8.0,9.0,4.0,21.0,0.38095238095238093,0.42857142857142855,0.19047619047619047,clausura 2006,37
661,Veracruz,3.0,3.0,3.0,2.0,4.0,2.0,5.0,7.0,5.0,17.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,clausura 2006,37
662,America,5.0,5.0,0.0,2.0,5.0,4.0,9.0,0.0,7.0,16.0,0.5625,0.0,0.4375,apertura 2006,38
663,Atlante,2.0,4.0,3.0,3.0,3.0,2.0,6.0,6.0,5.0,17.0,0.35294117647058826,0.35294117647058826,0.29411764705882354,apertura 2006,38
664,Atlas,2.0,5.0,2.0,5.0,3.0,2.0,7.0,5.0,7.0,19.0,0.3684210526315789,0.2631578947368421,0.3684210526315789,apertura 2006,38
665,Chiapas FC,1.0,4.0,3.0,4.0,3.0,2.0,6.0,6.0,5.0,17.0,0.35294117647058826,0.35294117647058826,0.29411764705882354,apertura 2006,38
